Model Year,Vehicle Manufacturer Name,Veh Mfr Code,Represented Test Veh Make,Represented Test Veh Model,Test Vehicle ID,Test Veh Configuration #,Test Veh Displacement (L),Actual Tested Testgroup,Vehicle Type,Rated Horsepower,# of Cylinders and Rotors,Engine Code,Tested Transmission Type Code,Tested Transmission Type,# of Gears,Transmission Lockup?,Drive System Code,Drive System Description,Transmission Overdrive Code,Transmission Overdrive Desc,Equivalent Test Weight (lbs.),Axle Ratio,N/V Ratio,Shift Indicator Light Use Cd,Shift Indicator Light Use Desc,Test Number,Test Originator,Analytically Derived FE?,ADFE Test Number,ADFE Total Road Load HP,ADFE Equiv. Test Weight (lbs.),ADFE N/V Ratio,Test Procedure Cd,Test Procedure Description,Test Fuel Type Cd,Test Fuel Type Description,Test Category,THC (g/mi),CO (g/mi),CO2 (g/mi),NOx (g/mi),PM (g/mi),CH4 (g/mi),N2O (g/mi),RND_ADJ_FE,FE_UNIT,FE Bag 1,FE Bag 2,FE Bag 3,FE Bag 4,DT-Inertia Work Ratio Rating,DT-Absolute Speed Change Ratg,DT-Energy Economy Rating,Target Coef A (lbf),Target Coef B (lbf/mph),Target Coef C (lbf/mph**2),Set Coef A (lbf),Set Coef B (lbf/mph),Set Coef C (lbf/mph**2),Aftertreatment Device Cd,Aftertreatment Device Desc,Police - Emergency Vehicle?,Averaging Group ID,Averaging Weighting Factor,Averaging Method Cd,Averging Method Desc
2022,BMW,BMX,BMW,330i,AE81240,1,2.000,KBMXJ02.0B4X,Both,255,4,B4620O1-G20-S,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,3875,2.81,24.0,1,Not eqipped,KBMX10055991,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0001344,0.0091621,170.7570000,0.0034842,,0,,51.8,MPG,,,,,0.1327890,-0.1116800,-0.1661690,41.500,-0.10800,0.019580,15.600,0.23500,0.014910,TWC,Three-way catalyst,N,,,N,No averaging
2022,BMW,BMX,BMW,330i,AE81240,1,2.000,KBMXJ02.0B4X,Both,255,4,B4620O1-G20-S,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,3875,2.81,24.0,1,Not eqipped,KBMX10056050,MFR,No,,,,,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,0.0080940,0.1584850,261.3960000,0.0058635,,0.0011490,0.0009121,33.9,MPG,31.7534000,33.5210000,36.3000000,,0.6972420,0.6647000,-1.1789600,41.500,-0.10800,0.019580,15.600,0.23500,0.014910,TWC,Three-way catalyst,N,,,N,No averaging
2022,BMW,BMX,BMW,330i,AE81240,1,2.000,KBMXJ02.0B4X,Both,255,4,B4620O1-G20-S,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,3875,2.81,24.0,1,Not eqipped,KBMX10056052,MFR,No,,,,,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,0.0089330,0.2736180,265.0000000,0.0104610,,0.0017860,0.0007250,33.4,MPG,31.8072000,32.7725000,35.9304000,,0.9882700,0.7567500,-1.0854400,41.500,-0.10800,0.019580,15.600,0.23500,0.014910,TWC,Three-way catalyst,N,,,N,No averaging
2022,BMW,BMX,BMW,330i,AE81240,2,2.000,KBMXJ02.0B4X,Both,255,4,B4620O1-G20-S,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,3875,2.81,24.0,1,Not eqipped,KBMX10055993,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0002961,0.0088594,177.6650000,0.0034570,,0,,49.7,MPG,,,,,-2.6488600,-2.0759100,-0.6631170,51.400,-0.07900,0.019250,22.500,0.23100,0.015010,TWC,Three-way catalyst,N,,,N,No averaging
2022,BMW,BMX,BMW,330i,AE81240,2,2.000,KBMXJ02.0B4X,Both,255,4,B4620O1-G20-S,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,3875,2.81,24.0,1,Not eqipped,KBMX10056054,MFR,No,,,,,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,0.0062040,0.1333340,254.6190000,0.0057530,,0.0009471,0.0004363,34.7,MPG,31.8836000,34.5765000,34.5765000,,-1.9159200,-1.2465300,-1.2872100,51.400,-0.07900,0.019250,22.500,0.23100,0.015010,TWC,Three-way catalyst,N,,,N,No averaging
2022,BMW,BMX,BMW,330i xDrive,AE82448,0,2.000,KBMXJ02.0B4X,Both,255,4,B4620O1-G20-X,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,4000,2.81,24.0,1,Not eqipped,KBMX10056055,MFR,No,,,,,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,0.0071040,0.1612140,276.6410000,0.0045190,,0.0014760,0.0006870,31.9,MPG,29.8249000,31.6130000,34.4100000,,-2.0109900,-1.1429600,-2.3685900,46.000,-0.14100,0.019750,0.100,0.14500,0.015000,TWC,Three-way catalyst,N,,,N,No averaging
2022,BMW,BMX,BMW,330i xDrive,AE82448,0,2.000,KBMXJ02.0B4X,Both,255,4,B4620O1-G20-X,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,4000,2.81,24.0,1,Not eqipped,KBMX10056056,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0005220,0.0191470,180.0910000,0.0029520,,0.0001460,,49.2,MPG,,,,,-4.6464600,-3.7192200,-0.1848150,46.000,-0.14100,0.019750,0.100,0.14500,0.015000,TWC,Three-way catalyst,N,,,N,No averaging
2022,BMW,BMX,BMW,330i xDrive,AE82448,0,2.000,KBMXJ02.0B4X,Both,255,4,B4620O1-G20-X,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,4000,2.81,24.0,1,Not eqipped,KBMX10056077,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0007575,0.0234376,175.4990000,0.0027538,,0.0003933,,50.6,MPG,,,,,-6.0029500,-4.8321300,-1.1648100,46.000,-0.14100,0.019750,0.100,0.14500,0.015000,TWC,Three-way catalyst,N,,,N,No averaging
2022,BMW,BMX,BMW,330i xDrive,AE82448,1,2.000,KBMXJ02.0B4X,Both,255,4,B4620O1-G20-X,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,4000,2.81,24.0,1,Not eqipped,KBMX10056057,MFR,No,,,,,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,0.0077510,0.1715350,276.4330000,0.0080060,,0.0017000,0.0006740,32.0,MPG,30.3205000,31.3818000,34.8397000,,-4.3650900,-2.7623000,-2.5473500,45.800,-0.14100,0.020790,1.700,0.10200,0.016480,TWC,Three-way catalyst,N,,,N,No averaging
2022,BMW,BMX,BMW,330i xDrive,AE82448,1,2.000,KBMXJ02.0B4X,Both,255,4,B4620O1-G20-X,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,4000,2.81,24.0,1,Not eqipped,KBMX10056058,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0005640,0.0254330,177.4200000,0.0022100,,0.0002470,,50.0,MPG,,,,,-9.2173300,-7.8751000,-1.6173400,45.800,-0.14100,0.020790,1.700,0.10200,0.016480,TWC,Three-way catalyst,N,,,N,No averaging
